Hour,Minute,Range (km)
3,58,26584.37767
3,59,26542.27047
4,0,22871.8582
4,1,22837.43691
4,2,22803.26164
4,3,22769.33579
4,4,22735.66271
4,5,22702.24576
4,6,22669.08824
4,7,22636.19345
4,8,22603.56465
4,9,22571.20507
4,10,22539.11792
4,11,22507.30637
4,12,22475.77357
4,13,22444.52264
4,14,22413.55665
4,15,22382.87866
4,16,22352.49169
4,17,22322.39872
4,18,22292.6027
4,19,22263.10654
4,20,22233.91313
4,21,22205.0253
4,22,22176.44587
4,23,22148.1776
4,24,22120.22321
4,25,22092.58541
4,26,22065.26683
4,27,22038.2701
4,28,22011.59777
4,29,21985.25238
4,30,21959.23641
4,31,21933.5523
4,32,21908.20244
4,33,21883.1892
4,34,21858.51488
4,35,21834.18175
4,36,21810.19202
4,37,21786.54785
4,38,21763.25139
4,39,21740.3047
4,40,21717.7098
4,41,21695.46869
4,42,21673.58328
4,43,21652.05546
4,44,21630.88706
4,45,21610.07986
4,46,21589.63558
4,47,21569.5559
4,48,21549.84244
4,49,21530.49679
4,50,21511.52044
4,51,21492.91488
4,52,21474.68152
4,53,21456.8217
4,54,21439.33675
4,55,21422.22789
4,56,21405.49634
4,57,21389.14323
4,58,21373.16964
4,59,21357.57661
4,0,26503.06572
5,0,21342.3651
5,1,21327.53603
5,2,21313.09027
5,3,21299.02861
5,4,21285.35181
5,5,21272.06055
5,6,21259.15547
5,7,21246.63715
5,8,21234.5061
5,9,21222.7628
5,10,21211.40764
5,11,21200.44098
5,12,21189.86311
5,13,21179.67426
5,14,21169.87462
5,15,21160.4643
5,16,21151.44337
5,17,21142.81184
5,18,21134.56966
5,19,21126.71673
5,20,21119.25288
5,21,21112.17791
5,22,21105.49153
5,23,21099.19342
5,24,21093.2832
5,25,21087.76043
5,26,21082.62463
5,27,21077.87523
5,28,21073.51164
5,29,21069.53321
5,30,21065.93924
5,31,21062.72895
5,32,21059.90154
5,33,21057.45615
5,34,21055.39185
5,35,21053.70768
5,36,21052.40262
5,37,21051.4756
5,38,21050.92551
5,39,21050.75118
5,40,21050.95139
5,41,21051.52489
5,42,21052.47035
5,43,21053.78642
5,44,21055.4717
5,45,21057.52474
5,46,21059.94404
5,47,21062.72807
5,48,21065.87524
5,49,21069.38393
5,50,21073.25246
5,51,21077.47914
5,52,21082.0622
5,53,21086.99986
5,54,21092.29029
5,55,21097.93162
5,56,21103.92194
5,57,21110.25931
5,58,21116.94175
5,59,21123.96723
6,0,21131.33372
6,1,21139.03911
6,2,21147.0813
6,3,21155.45813
6,4,21164.16741
6,5,21173.20694
6,6,21182.57446
6,7,21192.2677
6,8,21202.28436
6,9,21212.62211
6,10,21223.27858
6,11,21234.2514
6,12,21245.53815
6,13,21257.1364
6,14,21269.04368
6,15,21281.25752
6,16,21293.77542
6,17,21306.59485
6,18,21319.71325
6,19,21333.12808
6,20,21346.83674
6,21,21360.83663
6,22,21375.12513
6,23,21389.69961
6,24,21404.55742
6,25,21419.69587
6,26,21435.11231
6,27,21450.80403
6,28,21466.76832
6,29,21483.00247
6,30,21499.50375
6,31,21516.26942
6,32,21533.29673
6,33,21550.58292
6,34,21568.12522
6,35,21585.92087
6,36,21603.96708
6,37,21622.26108
6,38,21640.80006
6,39,21659.58123
6,40,21678.60181
6,41,21697.85898
6,42,21717.34994
6,43,21737.07189
6,44,21757.02203
6,45,21777.19754
6,46,21797.59562
6,47,21818.21348
6,48,21839.04829
6,49,21860.09728
6,50,21881.35763
6,51,21902.82656
6,52,21924.50128
6,53,21946.37899
6,54,21968.45693
6,55,21990.73232
6,56,22013.20239
6,57,22035.86438
6,58,22058.71554
6,59,22081.75313
7,0,22104.97441
7,1,22128.37665
7,2,22151.95715
7,3,22175.71318
7,4,22199.64205
7,5,22223.74109
7,6,22248.00761
7,7,22272.43895
7,8,22297.03247
7,9,22321.78553
7,10,22346.6955
7,11,22371.75978
7,12,22396.97576
7,13,22422.34087
7,14,22447.85255
7,15,22473.50823
7,16,22499.30538
7,17,22525.24149
7,18,22551.31405
7,19,22577.5206
7,20,22603.85861
7,21,22630.32566
7,22,22656.9193
7,23,22683.63713
7,24,22710.47674
7,25,22737.43575
7,26,22764.5118
7,27,22791.70253
7,28,22819.00563
7,29,22846.41878
7,30,22873.9397
7,31,22901.56613
7,32,22929.2958
7,33,22957.1265
7,34,22985.05601
7,35,23013.08216
7,36,23041.20276
7,37,23069.41569
7,38,23097.7188
7,39,23126.10999
7,40,23154.58719
7,41,23183.14833
7,42,23211.79137
7,43,23240.51429
7,44,23269.31509
7,45,23298.1918
7,46,23327.14246
7,47,23356.16514
7,48,23385.25794
7,49,23414.41896
7,50,23443.64633
7,51,23472.93822
7,52,23502.29281
7,53,23531.70828
7,54,23561.18287
7,55,23590.71482
7,56,23620.3024
7,57,23649.9439
7,58,23679.63763
7,59,23709.38192
8,0,23739.17514
8,1,23769.01566
8,2,23798.90188
8,3,23828.83223
8,4,23858.80516
8,5,23888.81913
8,6,23918.87263
8,7,23948.96419
8,8,23979.09232
8,9,24009.25559
8,10,24039.45259
8,11,24069.6819
8,12,24099.94216
8,13,24130.23201
8,14,24160.55012
8,15,24190.89517
8,16,24221.26588
8,17,24251.66098
8,18,24282.07922
8,19,24312.51937
8,20,24342.98024
8,21,24373.46064
8,22,24403.95941
8,23,24434.47541
8,24,24465.00751
8,25,24495.55462
8,26,24526.11567
8,27,24556.68958
8,28,24587.27533
8,29,24617.8719
8,30,24648.47828
8,31,24679.09351
8,32,24709.71663
8,33,24740.34669
8,34,24770.98278
8,35,24801.62399
8,36,24832.26946
8,37,24862.91831
8,38,24893.56971
8,39,24924.22284
8,40,24954.87688
8,41,24985.53106
8,42,25016.1846
8,43,25046.83675
8,44,25077.48679
8,45,25108.134
8,46,25138.77768
8,47,25169.41715
8,48,25200.05175
8,49,25230.68084
8,50,25261.30379
8,51,25291.91998
8,52,25322.52883
8,53,25353.12974
8,54,25383.72217
8,55,25414.30556
8,56,25444.87939
8,57,25475.44312
8,58,25505.99628
8,59,25536.53837
9,0,25567.06891
9,1,25597.58747
9,2,25628.09358
9,3,25658.58684
9,4,25689.06681
9,5,25719.53312
9,6,25749.98536
9,7,25780.42318
9,8,25810.8462
9,9,25841.25409
9,10,25871.64651
9,11,25902.02315
9,12,25932.38369
9,13,25962.72784
9,14,25993.05531
9,15,26023.36584
9,16,26053.65917
9,17,26083.93504
9,18,26114.19322
9,19,26144.43348
9,20,26174.65561
9,21,26204.85939
9,22,26235.04464
9,23,26265.21117
9,24,26295.35881
9,25,26325.48738
9,26,26355.59673
9,27,26385.68671
9,28,26415.75719
9,29,26445.80803
9,30,26475.83912
9,31,26505.85033
9,32,26535.84157
9,33,26565.81273
9,34,26595.76373
9,35,26625.69449
9,36,26655.60492
9,37,26685.49497
9,38,26715.36456
9,39,26745.21365
9,40,26775.04217
9,41,26804.8501
9,42,26834.63739
9,43,26864.40401
9,44,26894.14994
9,45,26923.87515
9,46,26953.57963
9,47,26983.26336
9,48,27012.92634
9,49,27042.56856
9,50,27072.19004
9,51,27101.79076
19,8,23327.14246
